Designator,Mid X,Mid Y,Rotation,Layer
C1,148.054424,-88.047324,270.0,top
C2,149.161161,-88.053742,270.0,top
C3,138.923707,-98.289134,90.0,top
C4,137.823707,-98.289134,90.0,top
C5,154.778239,-100.862697,180.0,top
C6,154.778239,-101.962697,180.0,top
C7,135.67794,-83.013078,0.0,top
D1,145.104424,-88.227324,180.0,top
D2,151.904424,-90.427324,270.0,top
D3,138.354424,-102.677324,270.0,top
D4,148.899424,-103.327324,180.0,top
J1,146.604424,-84.427324,90.0,top
J3,155.404424,-91.827324,0.0,top
J4,135.104424,-97.927324,180.0,top
J5,145.139424,-107.127324,90.0,top
R1,152.504424,-93.327324,0.0,top
R10,151.499424,-103.627324,180.0,top
R11,142.604424,-104.217324,270.0,top
R2,140.504424,-103.027324,0.0,top
R3,153.004424,-95.427324,270.0,top
R4,144.894424,-103.127324,180.0,top
R5,144.894424,-104.327324,180.0,top
R6,142.104424,-87.677324,270.0,top
R7,151.104424,-87.427324,270.0,top
R8,150.204424,-89.927324,90.0,top
R9,138.354424,-100.427324,180.0,top
U1,146.604424,-91.927324,0.0,top
U2,142.279424,-99.427324,90.0,top
U3,150.929424,-99.427324,270.0,top
U4,137.104424,-87.427324,0.0,top
