Designator,Mid X,Mid Y,Rotation,Layer
C1,126.81,-91.269224,270.0,top
C2,132.184137,-94.193157,0.0,top
C3,133.81,-91.249,270.0,top
C4,135.66,-91.249,270.0,top
C5,124.531005,-84.799,270.0,top
C6,130.931005,-84.043162,270.0,top
D1,142.31,-98.3865,270.0,top
D2,146.81,-98.3865,270.0,top
D3,151.81,-98.3865,270.0,top
D4,111.71,-89.144,270.0,top
J14,115.285,-98.299,0.0,top
Q1,145.8725,-91.424,180.0,top
R1,142.31,-95.024,90.0,top
R2,146.81,-95.024,90.0,top
R3,151.81,-95.024,90.0,top
R4,117.06,-90.969,270.0,top
R5,114.735,-90.9565,270.0,top
R6,99.885,-82.474,0.0,top
R7,95.735,-82.474,180.0,top
U1,130.26,-91.444224,180.0,top
U2,127.718505,-84.024,0.0,top
U3,133.81,-76.724,90.0,top
