Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C6",0603,4,1uF,C15849
C2,0603,1,22nF,C21122
C4,0603,1,100nF,C14663
"D1, D2, D3",0603,3,RED,C2286
D4,D_SMA,1,D_Schottky,C2480
J14,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2927038
Q1,SOT-23,1,AO3400A,C20917
"R1, R2, R3",0603,3,220,C22962
"R4, R5",0805,2,5.1k,C27834
"R6, R7",0603,2,4.7k,C23162
U1,SOT-23-5,1,RT9193-18,C27416
U2,SOT-23-3,1,XC6206PxxxMR,C5446
U3,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,C130026
