Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,162.988984,-120.0,0.0,top
C2,100n,C_0603_1608Metric,171.858771,-120.002232,0.0,top
C3,100n,C_0603_1608Metric,180.728558,-120.002232,0.0,top
C4,100n,C_0603_1608Metric,189.598345,-120.002232,0.0,top
C5,100n,C_0603_1608Metric,198.468132,-120.002232,0.0,top
C6,100n,C_0603_1608Metric,207.337919,-120.002232,0.0,top
C7,100n,C_0603_1608Metric,216.207706,-120.002232,0.0,top
C8,100n,C_0603_1608Metric,225.077493,-120.002232,0.0,top
C9,100n,C_0603_1608Metric,233.94728,-120.002232,0.0,top
C10,100n,C_0603_1608Metric,242.817075,-120.002232,0.0,top
C11,100n,C_0603_1608Metric,162.987632,-80.3,0.0,top
C12,100n,C_0603_1608Metric,171.85636,-80.3,0.0,top
C13,100n,C_0603_1608Metric,180.725088,-80.3,0.0,top
C14,100n,C_0603_1608Metric,189.593816,-80.3,0.0,top
C15,100n,C_0603_1608Metric,216.2,-80.3,0.0,top
C16,100n,C_0603_1608Metric,225.068728,-80.3,0.0,top
C17,100n,C_0603_1608Metric,207.331272,-80.3,0.0,top
C18,100n,C_0603_1608Metric,233.937456,-80.3,0.0,top
C19,100n,C_0603_1608Metric,198.462544,-80.3,0.0,top
C20,100n,C_0603_1608Metric,242.806192,-80.3,0.0,top
C21,100n,C_0603_1608Metric,162.824756,-41.0,0.0,top
C22,100n,C_0603_1608Metric,207.168811,-41.0,0.0,top
C23,100n,C_0603_1608Metric,171.693567,-41.0,0.0,top
C24,100n,C_0603_1608Metric,180.562378,-41.0,0.0,top
C25,100n,C_0603_1608Metric,189.431189,-41.0,0.0,top
C26,100n,C_0603_1608Metric,198.3,-41.0,0.0,top
C27,100n,C_0603_1608Metric,216.037622,-41.0,0.0,top
C28,100n,C_0603_1608Metric,224.906433,-41.0,0.0,top
C29,100n,C_0603_1608Metric,233.775244,-41.0,0.0,top
C30,100n,C_0603_1608Metric,242.644063,-41.0,0.0,top
D1,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,163.76,-126.0,90.0,top
D2,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,172.631111,-126.0,90.0,top
D3,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,181.502222,-126.0,90.0,top
D4,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,190.373333,-126.0,90.0,top
D5,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,199.244444,-126.0,90.0,top
D6,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,208.115555,-126.0,90.0,top
D7,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,216.986666,-126.0,90.0,top
D8,WS2812,LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,225.857777,-126.0,90.0,top
